,lat,lon
0,-16.3005,-45.349
1,-16.3005,-45.249
2,-16.3005,-45.449
3,-16.3005,-45.149
4,-16.3005,-45.049
5,-16.3005,-44.949
6,-16.3005,-44.849
7,-16.3005,-44.749
8,-16.3005,-44.449
9,-16.3005,-44.349
10,-16.3005,-44.649
11,-16.3005,-44.549
12,-16.3005,-44.049
13,-16.3005,-44.149
14,-16.3005,-44.249
15,-16.3005,-43.949
16,-16.3005,-43.849
17,-16.3005,-43.749
18,-16.3005,-43.349
19,-16.3005,-43.549
20,-16.3005,-43.649
21,-16.3005,-43.449
22,-16.3005,-43.249
23,-16.3005,-43.149
24,-16.3005,-42.949
25,-16.3005,-43.049
26,-16.3005,-42.649
27,-16.3005,-42.549
28,-16.3005,-42.749
29,-16.3005,-42.849
30,-16.3005,-42.149
31,-16.3005,-42.349
32,-16.3005,-42.449
33,-16.3005,-42.249
34,-16.3005,-42.049
35,-16.3005,-41.749
36,-16.3005,-41.649
37,-16.3005,-41.849
38,-16.3005,-41.949
39,-16.3005,-41.549
40,-16.3005,-41.249
41,-16.3005,-41.449
42,-16.3005,-41.349
43,-16.3005,-40.749
44,-16.3005,-40.849
45,-16.3005,-41.049
46,-16.3005,-41.149
47,-16.3005,-40.949
48,-16.3005,-40.349
49,-16.3005,-40.449
50,-16.3005,-40.549
51,-16.3005,-40.649
52,-16.3005,-40.249
53,-16.3005,-40.149
54,-16.3005,-40.049
55,-16.3005,-39.949
56,-16.2005,-46.949
57,-16.2005,-47.149
58,-16.2005,-47.349
59,-16.2005,-47.049
60,-16.2005,-47.249
61,-16.2005,-46.849
62,-16.2005,-46.649
63,-16.2005,-46.749
64,-16.2005,-46.449
65,-16.2005,-46.549
66,-16.2005,-46.349
67,-16.2005,-46.249
68,-16.2005,-46.049
69,-16.2005,-46.149
70,-16.2005,-45.849
71,-16.2005,-45.749
72,-16.2005,-45.949
73,-16.2005,-45.649
74,-16.2005,-45.249
75,-16.2005,-45.549
76,-16.2005,-45.349
77,-16.2005,-45.149
78,-16.2005,-45.449
79,-16.2005,-45.049
80,-16.2005,-44.849
81,-16.2005,-44.749
82,-16.2005,-44.949
83,-16.2005,-44.349
84,-16.2005,-44.449
85,-16.2005,-44.549
86,-16.2005,-44.649
87,-16.2005,-44.249
88,-16.2005,-43.849
